"extensionAttribute9","Name","OperatingSystemVersion","OperatingSystem","lastlogondate","whencreated","enabled","distinguishedName"
,"JD2YPN3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 8:45:55","19/9/2022 13:06:45","True","CN=JD2YPN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"4XJGW44","10.0 (22631)","Windows 11 Enterprise","12/1/2026 8:30:52","4/11/2024 17:12:55","True","CN=4XJGW44,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"FWP5LN3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 15:32:41","22/5/2023 13:33:09","True","CN=FWP5LN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"30TZKN3","10.0 (22631)","Windows 11 Enterprise","30/10/2025 9:44:27","28/11/2022 10:14:07","False","CN=30TZKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"1JTYKN3","10.0 (22631)","Windows 11 Pro","12/1/2026 10:24:29","28/10/2022 9:16:07","True","CN=1JTYKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"7SLQ8F4","10.0 (26100)","Windows 11 Enterprise","8/1/2026 9:20:16","28/10/2025 9:41:44","True","CN=7SLQ8F4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"CC8DTQ3","10.0 (26100)","Windows 11 Enterprise","8/1/2026 9:18:40","5/9/2025 11:11:56","True","CN=CC8DTQ3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"CDGF414","10.0 (26100)","Windows 11 Enterprise","11/1/2026 22:19:08","23/1/2024 13:47:19","True","CN=CDGF414,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"D34MTQ3","10.0 (22631)","Windows 11 Enterprise","11/1/2026 19:43:08","26/8/2022 9:49:45","True","CN=D34MTQ3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"720T8F4","10.0 (26100)","Windows 11 Enterprise","15/1/2026 9:38:45","24/10/2025 14:20:52","True","CN=720T8F4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"H36K334","10.0 (22631)","Windows 11 Enterprise","8/1/2026 11:45:07","12/12/2024 13:32:33","True","CN=H36K334,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"GJ81ZC4","10.0 (26200)","Windows 11 Enterprise","12/1/2026 3:31:16","8/10/2025 15:01:18","True","CN=GJ81ZC4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"8010LN3","10.0 (22631)","Windows 11 Enterprise","27/10/2025 8:44:34","23/12/2022 9:08:13","True","CN=8010LN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"91331T3","10.0 (22631)","Windows 11 Enterprise","6/1/2026 11:49:24","29/12/2022 9:09:02","True","CN=91331T3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"C40T8F4","10.0 (26100)","Windows 11 Enterprise","12/1/2026 9:12:09","24/10/2025 14:22:29","True","CN=C40T8F4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
"HKKWN200","D6TKS73","10.0 (22631)","Windows 11 Enterprise","26/11/2025 11:13:07","30/12/2020 16:42:43","True","CN=D6TKS73,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"HYSR3T3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 8:13:36","9/12/2022 15:28:03","True","CN=HYSR3T3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"GPYLTQ3","10.0 (22631)","Windows 11 Enterprise","16/10/2025 8:23:44","24/4/2025 12:43:00","True","CN=GPYLTQ3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"FFLYV64","10.0 (26100)","Windows 11 Enterprise","8/1/2026 10:52:18","19/5/2025 13:47:55","True","CN=FFLYV64,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"DYR8LR3","10.0 (22631)","Windows 11 Education","12/1/2026 8:53:39","3/10/2023 12:30:41","True","CN=DYR8LR3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
"HKKWN200","6MZ4Z63","10.0 (22631)","Windows 11 Enterprise","12/1/2026 15:36:06","16/10/2020 9:32:08","True","CN=6MZ4Z63,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"254LTT3","10.0 (22631)","Windows 11 Enterprise","6/1/2026 8:44:10","28/11/2023 9:36:58","True","CN=254LTT3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"F40T8F4","10.0 (26100)","Windows 11 Enterprise","28/12/2025 21:30:14","28/10/2025 9:45:18","True","CN=F40T8F4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"8P5JKN3","10.0 (22631)","Windows 11 Enterprise","12/1/2026 9:33:15","22/12/2022 10:14:08","True","CN=8P5JKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"GR7J334","10.0 (22631)","Windows 11 Enterprise","8/1/2026 9:45:41","26/6/2024 15:26:11","True","CN=GR7J334,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"HFLYV64","10.0 (22631)","Windows 11 Enterprise","12/1/2026 8:23:06","21/1/2025 9:33:57","True","CN=HFLYV64,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"78YH334","10.0 (22631)","Windows 11 Enterprise","8/1/2026 9:35:56","29/5/2024 9:40:46","True","CN=78YH334,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"53GYV64","10.0 (26100)","Windows 11 Enterprise","8/1/2026 8:39:47","16/7/2025 15:54:34","True","CN=53GYV64,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"G3STZF4","10.0 (26100)","Windows 11 Enterprise","8/1/2026 9:43:38","27/11/2025 15:15:50","True","CN=G3STZF4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"JBQQKN3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 9:01:49","13/8/2024 10:05:52","True","CN=JBQQKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"6YK9TV3","10.0 (22631)","Windows 11 Enterprise","6/1/2026 9:08:38","23/5/2023 9:13:01","True","CN=6YK9TV3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"HCS2VF4","10.0 (26100)","Windows 11 Enterprise","12/1/2026 10:09:26","11/11/2025 15:19:59","True","CN=HCS2VF4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"51HGW44","10.0 (22631)","Windows 11 Enterprise","8/1/2026 8:38:22","12/2/2025 17:42:26","True","CN=51HGW44,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"8770BY3","10.0 (26100)","Windows 11 Enterprise","12/1/2026 10:00:50","11/1/2024 14:34:17","True","CN=8770BY3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"8S8HV44","10.0 (22631)","Windows 11 Enterprise","12/1/2026 12:35:54","17/10/2024 14:00:04","True","CN=8S8HV44,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"FRKYKN3","10.0 (22631)","Windows 11 Enterprise","6/1/2026 8:40:59","14/12/2022 10:04:17","True","CN=FRKYKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"3T9KKN3","10.0 (19045)","Windows 10 Enterprise","17/10/2025 9:08:01","26/10/2022 15:55:08","False","CN=3T9KKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"4VTZKN3","10.0 (22631)","Windows 11 Enterprise","6/1/2026 18:17:38","7/11/2022 12:58:56","True","CN=4VTZKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"9S9HC54","10.0 (26100)","Windows 11 Enterprise","11/1/2026 19:50:37","18/7/2025 13:09:18","True","CN=9S9HC54,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"JRQ9TV3","10.0 (22631)","Windows 11 Enterprise","9/1/2026 10:25:23","23/5/2023 9:10:16","True","CN=JRQ9TV3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"GKL0RV3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 8:45:45","25/7/2024 10:15:19","True","CN=GKL0RV3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"9CQDK34","10.0 (22631)","Windows 11 Enterprise","8/1/2026 11:08:12","18/12/2025 17:09:46","True","CN=9CQDK34,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"496K334","10.0 (22631)","Windows 11 Enterprise","8/1/2026 9:25:36","7/5/2025 15:42:48","True","CN=496K334,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"5KLYV64","10.0 (22631)","Windows 11 Enterprise","8/1/2026 10:29:15","21/1/2025 9:34:21","True","CN=5KLYV64,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"3WPLKN3","10.0 (22631)","Windows 11 Enterprise","12/1/2026 9:18:52","1/8/2024 11:31:55","True","CN=3WPLKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"J4HZR14","10.0 (22631)","Windows 11 Enterprise","12/1/2026 9:15:09","23/2/2024 11:56:28","True","CN=J4HZR14,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"5CLYV64","10.0 (26100)","Windows 11 Enterprise","15/1/2026 9:11:09","21/1/2025 9:36:29","True","CN=5CLYV64,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"760LKN3","10.0 (22631)","Windows 11 Enterprise","6/1/2026 7:50:25","4/10/2024 13:32:00","True","CN=760LKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"2R6Q3T3","10.0 (22631)","Windows 11 Enterprise","15/12/2025 9:24:18","29/12/2022 10:01:22","True","CN=2R6Q3T3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"889PBY3","10.0 (22631)","Windows 11 Enterprise","15/1/2026 8:43:27","30/8/2023 12:22:57","True","CN=889PBY3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"GJNNKR3","10.0 (22631)","Windows 11 Enterprise","15/1/2026 8:15:48","23/9/2022 11:24:49","True","CN=GJNNKR3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"3J1SXF4","10.0 (26100)","Windows 11 Enterprise","12/1/2026 9:06:44","27/11/2025 12:02:13","True","CN=3J1SXF4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"DSLQ8F4","10.0 (26100)","Windows 11 Enterprise","7/1/2026 9:09:39","31/10/2025 10:49:32","True","CN=DSLQ8F4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"279PBY3","10.0 (22631)","Windows 11 Enterprise","11/1/2026 16:24:37","19/5/2025 10:15:24","True","CN=279PBY3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"JZ01WB4","10.0 (26100)","Windows 11 Enterprise","19/12/2025 13:00:25","9/10/2025 11:25:08","True","CN=JZ01WB4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"2B8DTQ3","10.0 (22631)","Windows 11 Enterprise","12/1/2026 7:47:43","27/7/2022 11:29:16","True","CN=2B8DTQ3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"24RKKN3","10.0 (22631)","Windows 11 Education","3/11/2025 9:27:37","3/4/2024 10:34:31","False","CN=24RKKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"9JXRXF4","10.0 (26100)","Windows 11 Enterprise","14/1/2026 5:12:40","27/11/2025 16:56:20","True","CN=9JXRXF4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"2L1FK34","10.0 (26100)","Windows 11 Enterprise","9/1/2026 9:40:17","3/11/2025 14:42:32","True","CN=2L1FK34,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"JY01WB4","10.0 (26100)","Windows 11 Enterprise","15/1/2026 9:10:13","5/9/2025 15:54:39","True","CN=JY01WB4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"C58R3T3","10.0 (22631)","Windows 11 Enterprise","12/1/2026 10:22:13","27/3/2024 11:15:21","True","CN=C58R3T3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"8QR8LR3","10.0 (22631)","Windows 11 Enterprise","7/1/2026 15:38:22","23/9/2022 11:33:17","True","CN=8QR8LR3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"99PGRV3","10.0 (22631)","Windows 11 Enterprise","5/1/2026 21:41:08","22/5/2023 15:06:17","True","CN=99PGRV3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"1457QV3","10.0 (22631)","Windows 11 Enterprise","12/1/2026 8:51:57","13/6/2024 10:48:17","True","CN=1457QV3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"CRZSBC4","10.0 (26200)","Windows 11 Enterprise","12/1/2026 9:26:26","9/10/2025 16:09:03","True","CN=CRZSBC4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"1F41WB4","10.0 (26100)","Windows 11 Enterprise","13/1/2026 13:23:39","3/9/2025 14:05:02","True","CN=1F41WB4,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"BFV7BY3","10.0 (22631)","Windows 11 Enterprise","12/1/2026 14:33:09","11/10/2023 11:33:10","True","CN=BFV7BY3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"7Z079Y3","10.0 (22631)","Windows 11 Enterprise","12/1/2026 9:52:46","14/7/2023 10:52:07","True","CN=7Z079Y3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"844LTT3","10.0 (22631)","Windows 11 Enterprise","6/1/2026 9:09:27","22/11/2023 11:04:46","True","CN=844LTT3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"HV231T3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 9:40:37","21/11/2022 15:21:02","True","CN=HV231T3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"5DWQ2T3","10.0 (22631)","Windows 11 Enterprise","16/12/2025 15:29:37","16/1/2024 13:02:51","True","CN=5DWQ2T3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"DP0F9Y3","10.0 (22631)","Windows 11 Enterprise","8/1/2026 10:21:38","14/7/2023 12:47:48","True","CN=DP0F9Y3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"7FLYV64","10.0 (22631)","Windows 11 Enterprise","8/1/2026 9:09:05","19/5/2025 13:56:44","True","CN=7FLYV64,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"2HM62T3","10.0 (22631)","Windows 11 Enterprise","14/10/2025 9:04:14","4/1/2023 9:37:20","True","CN=2HM62T3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"DVTZKN3","10.0 (22631)","Windows 11 Enterprise","12/1/2026 9:29:25","29/9/2022 13:15:39","True","CN=DVTZKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"C52LKN3","10.0 (22631)","Windows 11 Enterprise","15/1/2026 9:53:50","14/12/2022 11:55:58","True","CN=C52LKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"HFBFTV3","10.0 (22631)","Windows 11 Enterprise","16/10/2025 10:03:47","24/5/2023 11:01:59","False","CN=HFBFTV3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"C4L9C54","10.0 (22631)","Windows 11 Enterprise","9/1/2026 9:19:58","27/9/2024 12:10:15","True","CN=C4L9C54,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"JRBK334","10.0 (22631)","Windows 11 Enterprise","12/1/2026 9:11:59","4/11/2025 13:28:08","True","CN=JRBK334,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"DVJQKN3","10.0 (22631)","Windows 11 Enterprise","19/9/2351 12:51:26","30/5/2023 10:53:35","True","CN=DVJQKN3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
,"3Z231T3","10.0 (22631)","Windows 11 Enterprise","17/12/2025 9:29:22","23/5/2024 15:34:04","True","CN=3Z231T3,OU=Workstations,OU=Clients,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net"
