"extensionAttribute9","sAMAccountName","mail","cn","managedBy","description","displayName","groupType","whenCreated"
"HKKWN200","As-Oracle-Maint","As-Oracle-Maint@wsp.com","As-Oracle-Maint","CN=Wan\, Annie (Annie.Wan),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"As-Oracle-Maint","8","16/6/2022 9:21:26"
"HKKWN200","Asia-HKG-iAD-AWS","Asia-HKG-iAD-AWS@pbworld.com","Asia-HKG-iAD-AWS","CN=Chang\, Rebecca (chang.rebecca),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","Project Group","Asia-HKG-iAD-AWS","8","13/7/2017 13:50:34"
"HKKWN200","WSP-MEP-M2-PD-1349688234","WSP-MEP-M2-PD@wsp.com","WSP-MEP-M2-PD","CN=Chang\, Rebecca (chang.rebecca),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"WSP-MEP-M2-PD","8","25/5/2021 21:18:57"
"HKKWN200","HK - Hong Kong - All Staff","HK-HongKong-AllStaff@WSPGroup.com","HK - Hong Kong - All Staff",,,"HK - Hong Kong - All Staff","8","21/10/2016 19:03:44"
"HKKWN200","CN - Project - J20675 - EM(MEPFP TJYJP(Plot35))","WSPJ20675EM-Plot35@WSPGroup.com.cn","CN - Project - J20675 - EM(MEPFP TJYJP(Plot35))",,,"CN - Project - J20675 - EM(MEPFP TJYJP(Plot35))","8","21/10/2016 18:58:02"
"HKKWN200","GRP-HK-2514156A","GRP-HK-2514156A@wsp.com","GRP-HK-2514156A","CN=Lau\, Shirley (Shirley.Lau),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"HKG-2514156A-CE42","8","13/12/2022 16:22:24"
"HKKWN200","HK - Project - J2497 - EM","WSPJ2497EM@WSPGroup.com.hk","HK - Project - J2497 - EM","CN=Cheung\, Carol (HKYKC002),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"HK - Project - J2497 - EM - 001","8","21/10/2016 19:06:03"
"HKKWN200","CN - Project - J20924 - EM(Jing An Tower)","WSPJ20924EM@WSPGroup.com.cn","CN - Project - J20924 - EM(Jing An Tower)",,,"CN - Project - J20924 -EM(Jing An Tower)","8","21/10/2016 18:59:05"
,"PBSC HVAC TC",,"PBSC HVAC TC",,,"PBSC HVAC TC","8","6/12/2005 12:14:21"
"HKKWN200","HK - Project - WH50210A","WH50210A@wspgroup.com.hk","HK - Project - WH50210A","CN=Cheung\, Carol (HKYKC002),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","HK - Project - WH50210A (Artis Tree, Taikoo Place)","HK - Project - WH50210A","8","18/1/2017 14:07:53"
"HKKWN200","WSP-CNSH-WP62543A-CS","WSP-CNSH-WP62543A-CS@wsp.com","WSP-CNSH-WP62543A-CS",,"WSP-CNSH-WP62543A-CS(HuaRun Hangzhou Olympic Center Project)","WSP-CNSH-WP62543A-CS","8","15/1/2018 11:33:59"
"HKKWN200","KWMR-WSP-CDC","KWMR-WSP-CDC@wsp.com","KWMR-WSP-CDC","CN=Chong\, Vivian (chong.vivian),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"KWMR-WSP-CDC","8","21/3/2023 10:39:19"
"HKKWN200","WSP-STR-DBO-DCS-TCTNTE","WSP-STR-DBO-DCS-TCTNTE@wsp.com","WSP-STR-DBO-DCS-TCTNTE","CN=Ho\, Kammy (HKKH737707),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","SCTASK0022647","WSP-STR-DBO-DCS-TCTNTE","8","25/8/2022 12:19:43"
"HKKWN200","WSP-STR-VCAAH","WSP-STR-VCAAH@wsp.com","WSP-STR-VCAAH","CN=Ho\, Kammy (HKKH737707),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"WSP-STR-VCAAH","8","29/5/2024 15:34:17"
"HKKWN200","PnBHK-PDFS-Com","PnBHK-PDFS-Com@wsp.com","PnBHK-PDFS-Com","CN=Chiu\, Raymond (chiu.raymond),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"PnBHK-PDFS-Com","8","26/8/2019 15:37:07"
"HKKWN200","HK - Project - Ras Laffan - CS","RasLaffan@WSPGroup.com.hk","HK - Project - Ras Laffan - CS",,,"HK - Project - Ras Laffan - CS1","8","21/10/2016 19:12:54"
"HKKWN200","HK - Project - J2947 - EM(KEPHQ D&B tender)","KERHQ-WSPBS@wspgroup.com.hk","HK - Project - J2947 - EM(KEPHQ D&B tender)","CN=Cheung\, Carol (HKYKC002),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"KERHQ-WSPBS","8","21/10/2016 19:10:12"
"HKKWN200","HK - Project - J2706 - EM","WSPJ2706EM@WSPGroup.com.hk","HK - Project - J2706 - EM",,,"HK - Project - J2706 - EM","8","21/10/2016 19:07:36"
"HKKWN200","SIL C902 C&S","SILC902CS@pbworld.com","SIL C902 C&S",,,"SIL C902 C&S","2","22/5/2009 12:16:56"
"HKKWN200","WSP-HKO-MEP-HZO-WJ1","WSP-HKO-MEP-HZO-WJ1@wsp.com","WSP-HKO-MEP-HZO-WJ1","CN=Chong\, Vivian (chong.vivian),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"WSP-HKO-MEP-HZO-WJ1","8","17/1/2020 11:04:27"
"HKKWN200","CN - Project - WP63069 - FC","WSPWP63069FC@wspgroup.com.cn","CN - Project - WP63069 - FC",,"CN - Project - WP63069 - FC(NANFUNG TOWER FIRE WINDOW)","CN - Project - WP63069 - FC","8","29/3/2017 16:36:06"
"HKKWN200","hkg-2512191A-CE54","hkg-2512191A-CE54@wsp.com","hkg-2512191A-CE54","CN=Ngan\, Samantha (HKSN619353),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"hkg-2512191A-CE54","8","23/8/2019 12:20:17"
"HKKWN200","ASEANIndia Managemen","ASEANIndiaManagementGroup@pbworld.com","ASEAN/India Management Group",,,"ASEAN/India Management Group","8","12/10/2004 16:23:01"
"HKKWN200","HKG-2509111A-CE76","HKG-2509111A-CE76@wsp.com","HKG-2509111A-CE76","CN=Yeung\, Joyce (Joyce.Yeung),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","User need to send and received this email, thanks","HKG-2509111A-CE76","8","27/2/2023 12:20:57"
"HKKWN200","CN - Project - WP65210","WP65210@wspgroup.com.cn","CN - Project - WP65210",,,"CN - Project - WP65210","8","21/10/2016 19:01:54"
"HKKWN200","PB HKG Secretaries","PBHKGSecretaries@pbworld.com","PB HKG Secretaries",,,"PB HKG Secretaries","8","29/7/2005 9:40:54"
"HKKWN200","WSP-PB-16A-D-Shouson-Hill-Rd","WSP-PB-16A-D-Shouson-Hill-Rd@pbworld.com","WSP-PB-16A-D-Shouson-Hill-Rd",,"WSP-PB-16A-D-Shouson-Hill-Rd","WSP-PB-16A-D-Shouson-Hill-Rd","8","16/1/2017 17:43:33"
,"HK-ADMIN-AllStaff","HK-ADMIN-AllStaff@wsp.com","HK-ADMIN-AllStaff","CN=Ng\, Peggy (ng.peggy),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"HK-ADMIN-AllStaff","8","26/2/2025 11:54:46"
"HKKWN200","HK - Project - WH50205A(Ad-Hoc)","wspWH50205A-Ad-hoc@wspgroup.com.hk","HK - Project - WH50205A(Ad-Hoc)","CN=Cheung\, Carol (HKYKC002),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","HK - Project - WH50205A(Ad-Hoc)","HK - Project - WH50205A(Ad-Hoc)","8","15/3/2017 9:46:45"
"HKKWN200","WSP-MEP-NTTTKODC-AC","WSP-MEP-NTTTKODC-AC@wsp.com","WSP-MEP-NTTTKODC-AC","CN=Chang\, Rebecca (chang.rebecca),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"WSP-MEP-NTTTKODC-AC","8","19/2/2024 10:42:18"
"HKKWN200","HKG-TFS-HospiKT","HKG-TFS-HospiKT@pbworld.com","HKG-TFS-HospiKT",,"HKG-TFS-HospiKT","HKG-TFS-HospiKT","8","29/6/2016 16:02:24"
"HKKWN200","SZ_Bay-Transport_Planning","SZ_Bay-Transport_Planning@wsp.com","SZ Bay-Transport Planning",,"SZ_Bay-Transport_Planning","SZ Bay-Transport Planning","8","9/10/2018 15:40:29"
"HKKWN200","WSP-STR-GalaxyPh3d","WSP-STR-GalaxyPh3d@wsp.com","WSP-STR-GalaxyPh3d","CN=Ho\, Kammy (HKKH737707),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"WSP-STR-GalaxyPh3d","8","14/7/2023 12:58:08"
"HKKWN200","WSP-PM-GMYX-1-1467104601","WSP-PM-GMYX@wsp.com","WSP-PM-GMYX","CN=Chang\, Rebecca (chang.rebecca),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"WSP-PM-GMYX","8","9/10/2020 17:08:10"
"HKKWN200","HK - Project - WH50267A - BS(7 Ngau Tau Kok Road)","wspWH50267ABS@wsp.com","HK - Project - WH50267A - BS(7 Ngau Tau Kok Road)","CN=Cheung\, Carol (HKYKC002),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"HK - Project - WH50267A - BS(7 Ngau Tau Kok Road)","8","17/12/2018 16:22:20"
"HKKWN200","HK - Project - J3222 - CS(HKUST MPA)","WSPJ3222CS@WSPGroup.com.hk","HK - Project - J3222 - CS(HKUST MPA)",,,"HK - Project - J3222 - CS(HKUST MPA)","8","21/10/2016 19:12:35"
,"PBSC-HK-PGN (Committee)",,"PBSC-HK-PGN (Committee)",,,"PBSC-HK-PGN (Committee)","8","15/5/2006 15:25:40"
"HKKWN200","HKG-2511200A-MTR 1653","GRP-HK-2511200A@wsp.com","HKG-2511200A-MTR 1653","CN=Chung\, Ann (HKAC737293),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"GRP-HK-2511200A","8","8/1/2024 17:15:33"
"HKKWN200","WSP_VR_CDC","WSP_VR_CDC@wsp.com","WSP_VR_CDC","CN=Chong\, Vivian (chong.vivian),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"WSP_VR_CDC","8","8/10/2024 15:22:49"
"HKKWN200","2502570A-KWFS","2502570A-KWFS@wsp.com","2502570A-KWFS","CN=Lee\, Anson (lee.anson),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"2502570A-KWFS","8","23/8/2023 10:28:29"
"HKKWN200","CN - Project - J20784 - EZ(Haihou)","WSPJ20784EZ@WSPGroup.com.cn","CN - Project - J20784 - EZ(Haihou)",,,"CN - Project - J20784 - EZ(Haihou)","8","21/10/2016 18:58:35"
"HKKWN200","STT-Proxima-DC","STT-Proxima-DC@wsp.com","STT-Proxima-DC","CN=Chang\, Rebecca (chang.rebecca),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","Would you please internal and External senders able to receive and send mail.
Ownership Control is Rebecca.Chang@wsp.com for add and delete member. Thanks!","STT-Proxima-DC","8","22/3/2023 15:43:11"
"HKKWN200","WSP-MEP-HMB-BASEMENTSMOKE","WSP-MEP-HMB-BASEMENTSMOKE@wsp.com","WSP-MEP-HMB-BASEMENTSMOKE","CN=Chang\, Rebecca (chang.rebecca),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"WSP-MEP-HMB-BASEMENTSMOKE","8","27/5/2022 11:33:01"
"HKKWN200","WSP-BS-PB3A","WSP-BS-PB3A@wsp.com","WSP-BS-PB3A","CN=Tin\, Cecilia (tin.cecilia),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"WSP-BS-PB3A","8","1/9/2020 9:15:17"
"HKKWN200","CN - Project - J20792 - EM(BJ Jiede Arts Centre)","WSPJ20792EM@WSPGroup.com.cn","CN - Project - J20792 - EM(BJ Jiede Arts Centre)",,,"CN - Project - J20792 - EM(BJ Jiede Arts Centre)","8","21/10/2016 18:58:40"
"HKKWN200","CN - Project - J21199 - EM(SHIA)","WSPJ21199EM@WSPGroup.com.cn","CN - Project - J21199 - EM(SHIA)",,,"CN - Project - J21199 - EM(SHIA)","8","21/10/2016 19:00:24"
"HKKWN200","HKG-2511126A-C16C002","HKG-2511126A-C16C002@pbworld.com","HKG-2511126A-C16C002",,"HKG-2511126A-C16C002","HKG-2511126A-C16C002","8","28/10/2016 11:20:01"
"HKKWN200","ASIA-HKG-2504252A","ASIA-HKG-2504252A@pbworld.com","ASIA-HKG-2504252A","CN=Chong\, Vivian (chong.vivian),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","ASIA-HKG-2504252A","ASIA-HKG-2504252A","8","7/1/2016 10:33:29"
"HKKWN200","WSP-CNSH-WP63081A-FC","WSP-CNSH-WP63081A-FC@wsp.com","WSP-CNSH-WP63081A-FC","CN=Xiong\, Tim (Tim.Xiong),OU=Active,OU=Users,OU=CN,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","WSP-CNSH-WP63081A-FC(NEW WORLD ZENGCHENG COMPREHENSIVE DEVELOPMENT PROJECT)","WSP-CNSH-WP63081A-FC","8","20/3/2018 10:41:31"
"HKKWN200","HK - Project - J2944 - EM (BTS HQ)","WSPJ2944EM@WSPGroup.com.hk","HK - Project - J2944 - EM (BTS HQ)","CN=Cheung\, Carol (HKYKC002),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"HK - Project - J2944 - EM (BTS HQ)","8","21/10/2016 19:10:09"
"HKKWN200","GRP-HK-Atos-OSS","GRP-HK-Atos-OSS@wsp.com","GRP-HK-Atos-OSS","CN=Wong\, Stanley (Stanley.Wong),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","GRP-HK-Atos-OSS","GRP-HK-Atos-OSS","8","28/8/2018 11:05:28"
"HKKWN200","WSP-C11081","WSP-C11081@wsp.com","WSP-C11081","CN=Wong\, Jenny (wong.jenny),OU=Disabled Users,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","WSP-C11081","WSP-C11081","8","30/9/2020 19:50:02"
"HKKWN200","HK - Project - J2966 - CS(Qianhai)","WSPJ2966CS@WSPGroup.com.hk","HK - Project - J2966 - CS(Qianhai)",,,"HK - Project - J2966 - CS(Qianhai)","8","21/10/2016 19:10:18"
"HKKWN200","CN - Project - J20437 - EZ","WSPJ20437EZ@WSPGroup.com.cn","CN - Project - J20437 - EZ (China Merchants Bank SZ Branch)",,,"CN - Project - J20437 - EZ","8","21/10/2016 18:57:07"
"HKKWN200","PBC MEP Executive Director","PBCMEPExecutiveDirector@pbworld.com","PBC MEP Executive Director","CN=Yang\, Shalina (yang.shalina),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"PBC MEP Executive Director","8","8/2/2012 16:19:13"
"HKKWN200","WSP-MarinaBay-HKO","WSP-MarinaBay-HKO@wsp.com","WSP-MarinaBay-HKO","CN=Lee\, Eric (eric.lee),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","WSP-MarinaBay-HKO","WSP-MarinaBay-HKO","2","17/7/2020 21:03:09"
"HKKWN200","GRP-HK-2511197A","GRP-HK-2511197A@wsp.com","GRP-HK-2511197A","CN=Chung\, Ann (HKAC737293),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","SCTASK0663826","GRP-HK-2511197A","8","12/10/2023 19:28:07"
"HKKWN200","PnBHK-HVAC-Com","PnBHK-HVAC-Com@wsp.com","PnBHK-HVAC-Com","CN=Tsui\, Kwok-Fai (tsui.kf),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"PnBHK-HVAC-Com","8","23/8/2019 10:09:52"
"HKKWN200","WSP-MEP-EMSD-6F","WSP-MEP-EMSD-6F@wsp.com","WSP-MEP-EMSD-6F","CN=Chang\, Rebecca (chang.rebecca),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","WSP-MEP-EMSD-6F","WSP-MEP-EMSD-6F","8","8/1/2019 9:34:54"
"HKKWN200","HK - Project - J2503 - CS","WSPJ2503CS@WSPGroup.com.hk","HK - Project - J2503 - CS",,,"HK - Project - J2503 - CS","8","21/10/2016 19:06:04"
"HKKWN200","HK - Project - J2807 - SS(Shangri-La Nanjing Hotel)","WSPJ2807SS@WSPGroup.com.hk","HK - Project - J2807 - SS(Shangri-La Nanjing Hotel)",,,"HK - Project - J2807 - SS(Shangri-La Nanjing Hotel)","8","21/10/2016 19:08:25"
"HKKWN200","WSP-STR-GZKC","WSP-STR-GZKC@wsp.com","WSP-STR-GZKC",,"WSP-STR-GZKC","WSP-STR-GZKC","8","18/5/2020 18:22:38"
"HKKWN200","HKG-2512115A-A151","HKG-2512115A-A151@pbworld.com","HKG-2512115A-A151",,,"HKG-2512115A-A151","8","9/2/2015 9:12:54"
"HKKWN200","GRP-HK-2537925A-NAH","GRP-HK-2537925A-NAH@wsp.com","GRP-HK-2537925A-NAH",,"GRP-HK-2537925A-NAH","GRP-HK-2537925A-NAH","8","20/7/2018 10:00:58"
"HKKWN200","ipark2-tender","ipark2-tender@wsp.com","ipark2-tender","CN=Chung\, Ann (HKAC737293),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"ipark2-tender","8","14/3/2025 17:02:54"
"HKKWN200","HK - Project - J3182 - Mega","WSPJ3182Mega@wsp.com","HK - Project - J3182 - Mega",,"HK - Project - J3182 - Mega","HK - Project - J3182 - Mega","8","12/9/2017 8:55:18"
"HKKWN200","HK - Project - WH50205A(9OC134 3A WTS)","WH50205A-WTS@wspgroup.com.hk","HK - Project - WH50205A(9OC134 3A WTS)","CN=Cheung\, Carol (HKYKC002),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"HK - Project - WH50205A(9OC134 3A WTS)","8","21/10/2016 19:13:04"
"HKKWN200","HK - Project - J2891 - CS(Lohas Park)","WSPJ2891CS@WSPGroup.com.hk","HK - Project - J2891 - CS(Lohas Park)",,,"HK - Project - J2891 - CS(Lohas Park)","8","21/10/2016 19:09:33"
"HKKWN200","PBA-253113A-KWH","PBA-253113A-KWH@pbworld.com","PBA-253113A-KWH","CN=Yang\, Shalina (yang.shalina),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"PBA-253113A-KWH","8","13/3/2013 9:40:53"
"HKKWN200","WSP2539506ABS","WSP2539506ABS@wsp.com","HK - Project - 2539506A - BS (HKSTP DCS)","CN=Cheung\, Carol (HKYKC002),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","change Project email display name  -> HK - Project - 2539506A - BS (HKSTP DCS)allow external and internal can send to this address","HK - Project - 2539506A - BS (HKSTP DCS)","8","15/8/2023 7:09:53"
"HKKWN200","CWB-WH66643A","CWB-WH66643A@wsp.com","CWB-WH66643A","CN=Ho\, Kammy (HKKH737707),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","CWB-WH66643A","CWB-WH66643A","8","6/6/2019 16:14:03"
"HKKWN200","ipark2-proposal","ipark2-proposal@wsp.com","ipark2-proposal","CN=Chung\, Ann (HKAC737293),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"ipark2-proposal","8","14/3/2025 17:02:55"
"HKKWN200","HK - Project - J3219 - CS(CFIS)","WSPJ3219CS@WSPGroup.com.hk","HK - Project - J3219 - CS(CFIS)",,,"HK - Project - J3219 - CS(CFIS)","8","21/10/2016 19:12:32"
"HKKWN200","HK - Project - WH50203A(CUHK)","WH50203A@wspgroup.com.hk","HK - Project - WH50203A(CUHK)","CN=Cheung\, Carol (HKYKC002),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"HK - Project - WH50203A(CUHK)","8","21/10/2016 19:12:57"
"HKKWN200","HK - Hong Kong - All Project J2436 - CS Staff","HK-HongKong-AllProjectJ2436-CSStaff@WSPGroup.com","HK - Hong Kong - All Project J2436 - CS Staff",,,"HK - Hong Kong - All Project J2436 - CS Staff","8","21/10/2016 19:03:40"
"HKKWN200","WSP-STR-LMCFS-1-869034251","WSP-STR-LMCFS@wsp.com","WSP-STR-LMCFS",,,"WSP-STR-LMCFS","8","30/11/2021 11:21:50"
"HKKWN200","WSP-STR-WH67054-BarkerRd37-12122997897","WSP-STR-WH67054-BarkerRd37@wsp.com","WSP-STR-WH67054-BarkerRd37","CN=Ho\, Kammy (HKKH737707),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"WSP-STR-WH67054-BarkerRd37","8","2/12/2021 12:31:47"
"HKKWN200","CN - Project - WP63059A","WP63059A@wspgroup.com.cn","CN - Project - WP63059A",,"CN - Project - WP63059A","CN - Project - WP63059A","8","10/4/2017 14:17:00"
"HKKWN200","ASIA-HKG-2508056A-QianHai","ASIA-HKG-2508056A-QianHai@pbworld.com","ASIA-HKG-2508056A-QianHai",,"ASIA-HKG-2508056A-QianHai","ASIA-HKG-2508056A-QianHai","8","16/5/2017 17:32:57"
"HKKWN200","PB-MEP-CRMI","PB-MEP-CRMI@pbworld.com","PB-MEP-CRMI","CN=Chang\, Rebecca (chang.rebecca),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","PB-MEP-CRMI","PB-MEP-CRMI","8","7/1/2016 10:34:49"
"HKKWN200","WSP-PB-HKNCC","WSP-PB-HKNCC@pbworld.com","WSP-PB-HKNCC","CN=Tsai\, Cary (tsai.cary),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","WSP-PB-HKNCC","WSP-PB-HKNCC","8","23/8/2016 12:08:48"
"HKKWN200","HKCEO_IVY_DL_14Oct-15Dec","HKCEO_IVY_DL_14Oct-15Dec@wsp.com","HKCEO_IVY_DL_14Oct-15Dec",,"HKCEO_IVY_DL_14Oct-15Dec","HKCEO_IVY_DL_14Oct-15Dec","8","14/10/2020 13:39:12"
"HKKWN200","WSPSTR_452-464PERD","WSPSTR-452-464PERD@wsp.com","WSPSTR_452-464PERD","CN=Ho\, Kammy (HKKH737707),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"WSPSTR_452–464PERD","8","17/2/2023 23:53:49"
"HKKWN200","HH-MWSC-WSP-SDE","HH-MWSC-WSP-SDE@wsp.com","HH-MWSC-WSP-SDE","CN=Ho\, Candice (Ho.Candice),OU=Disabled Users,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net","HH-MWSC-WSP-SDE","HH-MWSC-WSP-SDE@wsp.com","8","18/12/2018 14:19:25"
"HKKWN200","CN - MailGroup - SZMTR Qianhai Hub design competition","WSPSZMTR@WSPGroup.com.cn","CN - MailGroup - SZMTR Qianhai Hub design competition",,,"CN - MailGroup - SZMTR Qianhai Hub design competition","8","21/10/2016 18:56:53"
"HKKWN200","PBA_HKJC_STRC","PBA_HKJC_STRC@pbworld.com","PBA_HKJC_STRC",,,"PBA_HKJC_STRC","8","13/1/2011 16:20:15"
"HKKWN200","WSP-CSG-HoiTingRoad","WSP-CSG-HoiTingRoad@wsp.com","WSP-CSG-HoiTingRoad","CN=Ho\, Kammy (HKKH737707),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"WSP-CSG-HoiTingRoad","8","6/10/2023 10:59:50"
"HKKWN200","PB-Lantau-Lot750","PB-Lantau-Lot750@pbworld.com","PB-Lantau-Lot750","CN=Tsai\, Cary (tsai.cary),OU=Active,OU=Users,OU=HK,OU=WSPObjects,DC=corp,DC=pbwan,DC=net",,"PB-Lantau-Lot750","8","16/8/2013 11:39:21"
